E2018,E2022,CPF
PATRIOTA,PP,10
PTC,PTB,9
PRP,PP,9
PSC,PP,9
AVANTE,PMB,9
PSC,PSB,9
MDB,PODE,9
DEM,PSD,9
REDE,PDT,9
PODE,PSB,9
PSC,AVANTE,9
PTC,PATRIOTA,9
PTC,PSC,9
PSC,MDB,9
PRTB,AGIR,9
PR,PP,9
PRTB,REPUBLICANOS,9
PRP,PODE,9
PRP,PL,9
PRP,AGIR,9
PATRIOTA,PMB,9
NOVO,PODE,9
PC do B,PT,9
PATRIOTA,DC,9
PSDB,PDT,9
PR,SOLIDARIEDADE,9
PV,PODE,8
PRTB,PMB,8
PODE,PROS,8
PTC,REPUBLICANOS,8
PSC,REPUBLICANOS,8
PV,PATRIOTA,8
PODE,MDB,8
PV,REPUBLICANOS,8
PRTB,SOLIDARIEDADE,8
PMN,PROS,8
PSB,PDT,8
PRTB,AVANTE,8
SOLIDARIEDADE,PP,8
SOLIDARIEDADE,PRTB,8
PROS,SOLIDARIEDADE,8
PSDB,PODE,8
PR,AVANTE,8
PRTB,PSC,8
PODE,PTB,8
PRTB,PSD,8
PSB,MDB,8
PTB,PL,8
PT,SOLIDARIEDADE,8
PROS,AGIR,8
PSL,SOLIDARIEDADE,8
PP,REPUBLICANOS,8
PP,UNIÃO,8
PRB,PODE,8
PSL,DC,8
PSL,AVANTE,8
PPS,PSD,8
PRTB,PODE,8
PR,PSD,8
PDT,PSB,8
MDB,PL,8
PHS,AGIR,8
PHS,AVANTE,8
PHS,MDB,8
PATRIOTA,PODE,8
PRP,PSC,7
PSOL,PSTU,7
PSDB,PROS,7
PSDB,PP,7
PMN,PL,7
MDB,PSC,7
PMN,UNIÃO,7
PRP,PMB,7
PATRIOTA,UNIÃO,7
PT,PSB,7
PROS,PP,7
PDT,SOLIDARIEDADE,7
PROS,PATRIOTA,7
PODE,UNIÃO,7
PR,MDB,7
PPS,SOLIDARIEDADE,7
PPL,PC do B,7
DC,PSD,7
SOLIDARIEDADE,UNIÃO,7
PTB,PDT,7
PTC,PP,7
AVANTE,CIDADANIA,7
REDE,PSDB,7
AVANTE,PODE,7
REDE,CIDADANIA,7
PV,PSB,7
PTB,PP,7
AVANTE,UNIÃO,7
MDB,PSDB,7
DC,PL,6
PSL,MDB,6
PROS,REPUBLICANOS,6
PROS,PTB,6
PROS,PSDB,6
PROS,PSB,6
AVANTE,PP,6
DC,REPUBLICANOS,6
PSOL,PSB,6
REDE,PL,6
PROS,PMB,6
REDE,PODE,6
PROS,AVANTE,6
PRB,PSB,6
PRB,MDB,6
PR,PSDB,6
PDT,AVANTE,6
PR,PDT,6
DC,PTB,6
AVANTE,PDT,6
SOLIDARIEDADE,PATRIOTA,6
PPS,REPUBLICANOS,6
PPS,AVANTE,6
PDT,PP,6
PTB,PSDB,6
PV,PSD,6
PC do B,PDT,6
PV,PSC,6
NOVO,PL,6
MDB,PDT,6
PTC,PRTB,6
PSL,PMN,6
PSD,SOLIDARIEDADE,6
PSD,REPUBLICANOS,6
PTC,UNIÃO,6
PP,PRTB,6
PSC,PTB,6
PSC,PSD,6
PSC,PODE,6
PSB,PV,6
PC do B,AVANTE,6
PHS,PSDB,6
PSB,PODE,6
PATRIOTA,AVANTE,6
AVANTE,PSDB,6
PRTB,PTB,6
PV,MDB,6
PATRIOTA,PROS,6
DEM,PDT,6
PV,PP,6
DEM,MDB,6
PATRIOTA,SOLIDARIEDADE,6
PHS,PSD,6
PMB,PMN,6
PHS,PMB,6
PMB,PODE,6
PHS,PATRIOTA,6
PP,AGIR,6
PODE,PSD,6
PHS,SOLIDARIEDADE,6
PMN,PTB,6
PATRIOTA,PRTB,5
PRTB,PATRIOTA,5
PT,PDT,5
MDB,PATRIOTA,5
AVANTE,PSB,5
PATRIOTA,PSD,5
MDB,AVANTE,5
PMN,PATRIOTA,5
PV,REDE,5
PPS,PL,5
PMB,UNIÃO,5
PV,PL,5
PV,PDT,5
PSDB,PSB,5
DEM,REPUBLICANOS,5
PRTB,PROS,5
PSDB,PTB,5
PTC,PDT,5
PODE,PDT,5
PR,REPUBLICANOS,5
PRP,AVANTE,5
PRB,AVANTE,5
PR,PTB,5
PTC,AVANTE,5
PTC,MDB,5
DEM,PMN,5
PMB,PMB,5
PODE,PATRIOTA,5
PTC,PMB,5
PTC,PODE,5
DEM,PODE,5
PRP,PROS,5
PODE,SOLIDARIEDADE,5
PPS,MDB,5
PV,SOLIDARIEDADE,5
PRB,AGIR,5
PSC,SOLIDARIEDADE,5
AVANTE,PATRIOTA,5
PSB,AVANTE,5
PTB,AVANTE,5
PROS,PODE,5
PATRIOTA,PDT,5
PSB,PT,5
PROS,PMN,5
MDB,PT,5
PP,PSDB,5
DC,PROS,5
NOVO,PSD,5
SOLIDARIEDADE,PODE,5
PP,SOLIDARIEDADE,5
SOLIDARIEDADE,PROS,5
PSC,PROS,5
PRB,PP,5
PSD,PSDB,5
REDE,PP,5
PC do B,SOLIDARIEDADE,5
PHS,PMN,5
PSC,PATRIOTA,5
PRTB,PSDB,5
PC do B,REPUBLICANOS,5
PODE,PRTB,5
PPL,SOLIDARIEDADE,5
PDT,PT,5
PHS,PDT,5
REDE,MDB,5
PMN,PP,5
PPL,PTB,5
PSD,PV,5
PSD,PTB,5
PDT,PSDB,5
PC do B,PSD,4
PSOL,AVANTE,4
PROS,PT,4
PODE,PSDB,4
PSOL,REDE,4
PHS,DC,4
PROS,PSC,4
PHS,CIDADANIA,4
PSOL,PSD,4
PSB,PSDB,4
PATRIOTA,PSB,4
PC do B,PODE,4
PSD,PSB,4
PSB,PTB,4
PMN,PSD,4
MDB,SOLIDARIEDADE,4
MDB,PV,4
MDB,PTB,4
PMN,PSC,4
PSB,PMB,4
NOVO,PTB,4
PSB,AGIR,4
PRP,DC,4
NOVO,UNIÃO,4
PMN,PODE,4
PATRIOTA,MDB,4
PRTB,PP,4
PATRIOTA,PMN,4
PODE,AVANTE,4
DEM,PTB,4
PMN,AGIR,4
PT,MDB,4
NOVO,PATRIOTA,4
REDE,REPUBLICANOS,4
PMB,PL,4
SOLIDARIEDADE,AGIR,4
REDE,UNIÃO,4
DC,AVANTE,4
PR,PSB,4
REDE,PT,4
REDE,PSOL,4
AVANTE,PL,4
PPL,PSB,4
PHS,PSC,4
PPL,UNIÃO,4
PV,DC,4
SOLIDARIEDADE,PDT,4
PP,PATRIOTA,4
REDE,AVANTE,4
PMB,AGIR,4
PRB,UNIÃO,4
PDT,PMN,4
AVANTE,PROS,4
PPS,PDT,4
PPS,PSC,4
PPS,PMB,4
PPS,PSB,4
PHS,PTB,4
PV,PT,4
SOLIDARIEDADE,PL,4
PTB,PSC,4
PRB,PRTB,4
AVANTE,MDB,4
PTB,AGIR,4
DC,PMN,4
PTB,PSB,4
PRB,PSD,4
PP,PSB,4
DC,PODE,4
DC,PP,4
PSC,AGIR,4
PT,PSOL,4
PHS,PT,4
SOLIDARIEDADE,PSB,4
AVANTE,AGIR,4
SOLIDARIEDADE,PSDB,3
PSC,PDT,3
PMN,PDT,3
REDE,PATRIOTA,3
PSC,PMB,3
PHS,PRTB,3
REDE,PMN,3
REDE,PRTB,3
PSC,PMN,3
SOLIDARIEDADE,PSD,3
PSD,PRTB,3
SOLIDARIEDADE,PSC,3
PSD,DC,3
REDE,PV,3
PSDB,AGIR,3
AVANTE,DC,3
PT,PODE,3
PV,PROS,3
PSDB,CIDADANIA,3
PMB,AVANTE,3
PSL,PSDB,3
DC,PATRIOTA,3
DC,PDT,3
DC,SOLIDARIEDADE,3
PHS,PROS,3
PMB,PSB,3
PMB,PSC,3
PSOL,MDB,3
PSOL,PC do B,3
DC,PMB,3
PSOL,PMB,3
PTB,PATRIOTA,3
PMB,SOLIDARIEDADE,3
PT,REDE,3
DC,PSDB,3
PT,PSD,3
PT,PC do B,3
DC,MDB,3
PMN,AVANTE,3
PMN,CIDADANIA,3
AVANTE,PTB,3
PMB,MDB,3
PV,PRTB,3
MDB,CIDADANIA,3
AVANTE,PSC,3
PMN,MDB,3
AVANTE,PSD,3
PSDB,SOLIDARIEDADE,3
DEM,PSC,3
PTC,PL,3
DEM,PSB,3
PMN,DC,3
DEM,PROS,3
DC,AGIR,3
PTC,PROS,3
PSL,PDT,3
PMB,PROS,3
DC,PRTB,3
MDB,PROS,3
PPL,PATRIOTA,3
PDT,PROS,3
PR,PROS,3
PSB,PATRIOTA,3
PRP,PTB,3
PPL,AGIR,3
PPL,AVANTE,3
PCB,PSOL,3
PDT,MDB,3
PRB,PMB,3
PPL,MDB,3
PSB,CIDADANIA,3
PR,PMN,3
PMN,SOLIDARIEDADE,3
PPS,PSDB,3
PRTB,REDE,3
PR,PATRIOTA,3
PPL,PODE,3
PRTB,PSB,3
PODE,AGIR,3
PODE,PMN,3
PP,AVANTE,3
PATRIOTA,PSDB,3
NOVO,PSDB,3
PRB,PROS,3
PRB,PL,3
PP,PT,3
PP,PODE,3
PRB,PTB,3
PC do B,REDE,3
PR,PSC,3
PRP,PSB,3
PRB,PSDB,3
PP,PDT,3
PP,PSC,3
PODE,DC,3
PP,PROS,3
PSB,PROS,3
PRP,PSD,3
PRB,PDT,3
PPL,PROS,3
PMN,REPUBLICANOS,3
PC do B,PL,2
PP,MDB,2
PPS,PT,2
PDT,CIDADANIA,2
PPS,PODE,2
PSL,REDE,2
PPS,PTB,2
DEM,PATRIOTA,2
PRP,MDB,2
PPS,PP,2
DC,UNIÃO,2
PV,PTB,2
PTB,PMB,2
DEM,AVANTE,2
PDT,PC do B,2
PV,PSDB,2
PSOL,AGIR,2
PMB,DC,2
PC do B,PATRIOTA,2
PSOL,PODE,2
PSOL,PP,2
PT,PSC,2
PMB,PTB,2
PTC,PT,2
PC do B,PV,2
PR,DC,2
PROS,CIDADANIA,2
PR,CIDADANIA,2
PV,AGIR,2
PT,AGIR,2
PV,AVANTE,2
PMB,REDE,2
PV,CIDADANIA,2
PTC,PSDB,2
PROS,DC,2
PTB,CIDADANIA,2
PR,AGIR,2
PROS,PDT,2
PSOL,PV,2
PMB,REPUBLICANOS,2
DEM,PMB,2
PV,PMB,2
PSOL,PSDB,2
PC do B,PROS,2
PROS,PRTB,2
PMB,PATRIOTA,2
PODE,REDE,2
PHS,PSB,2
PRP,PDT,2
PDT,PRTB,2
PATRIOTA,CIDADANIA,2
PDT,PV,2
PC do B,UNIÃO,2
PTB,PT,2
PPL,DC,2
PSD,PODE,2
PSD,PMN,2
PSD,PDT,2
MDB,PRTB,2
PSB,NOVO,2
MDB,PSB,2
PSD,AGIR,2
PMN,PSB,2
PPL,PMN,2
PSC,PT,2
PP,PV,2
PTB,SOLIDARIEDADE,2
SOLIDARIEDADE,PT,2
SOLIDARIEDADE,PTB,2
PR,PRTB,2
PR,PV,2
PSB,REDE,2
NOVO,PMB,2
PSC,NOVO,2
PSC,DC,2
PSC,CIDADANIA,2
REDE,AGIR,2
PPL,PDT,2
PHS,REDE,2
PRTB,PDT,2
PPS,AGIR,2
PODE,NOVO,2
PTB,PMN,2
DEM,PRTB,2
PSL,CIDADANIA,2
REDE,DC,2
PPL,REDE,2
PRP,PT,2
PRB,PATRIOTA,2
PT,PV,2
PTC,PSB,2
REDE,PMB,2
MDB,AGIR,2
PODE,CIDADANIA,2
PSDB,PRTB,2
PTB,PROS,2
PATRIOTA,PV,2
PPL,PSD,2
PPL,PRTB,2
PSDB,PMB,2
REDE,PROS,2
PTB,PRTB,2
REDE,PSC,2
PSDB,DC,2
DC,PSB,2
PTC,PMN,1
PTC,PSOL,1
PR,PMB,1
NOVO,PCO,1
PDT,PTB,1
PTC,PV,1
PDT,PSOL,1
SOLIDARIEDADE,REDE,1
SOLIDARIEDADE,PV,1
PP,PSOL,1
SOLIDARIEDADE,PMN,1
SOLIDARIEDADE,PMB,1
PPL,CIDADANIA,1
SOLIDARIEDADE,AVANTE,1
AVANTE,PC do B,1
PP,PC do B,1
PHS,PV,1
REDE,PSD,1
PPL,PP,1
PPL,PSDB,1
PPL,PSOL,1
PPL,PV,1
PPL,REPUBLICANOS,1
PPS,DC,1
PPS,PATRIOTA,1
AVANTE,PRTB,1
PPS,PMN,1
PV,PMN,1
PDT,PATRIOTA,1
PV,NOVO,1
PMB,PDT,1
PDT,DC,1
AVANTE,PSOL,1
AVANTE,PT,1
PTC,REDE,1
PCB,PSD,1
PC do B,PSOL,1
PTC,CIDADANIA,1
MDB,PMB,1
PSD,PT,1
PSD,REDE,1
PRTB,PSOL,1
PATRIOTA,NOVO,1
PSDB,AVANTE,1
PRTB,DC,1
PSDB,NOVO,1
PSDB,PATRIOTA,1
PSDB,PC do B,1
MDB,DC,1
PSDB,PMN,1
PATRIOTA,PT,1
PRP,SOLIDARIEDADE,1
DEM,SOLIDARIEDADE,1
PRP,REDE,1
PSDB,PV,1
DEM,PV,1
PRP,PSDB,1
DEM,PT,1
PRP,PRTB,1
PRP,PMN,1
NOVO,SOLIDARIEDADE,1
PSD,PSC,1
PR,PT,1
NOVO,REPUBLICANOS,1
PSB,SOLIDARIEDADE,1
NOVO,MDB,1
NOVO,CIDADANIA,1
PSB,PSOL,1
PMN,PV,1
NOVO,PP,1
PSB,PSC,1
NOVO,PSC,1
PSC,PRTB,1
PSB,PRTB,1
PSC,PSDB,1
PSC,PV,1
PSC,REDE,1
PSB,PMN,1
PMN,PRTB,1
PSD,NOVO,1
PSD,PATRIOTA,1
PP,PMN,1
PSD,PMB,1
MDB,PMN,1
PSD,PROS,1
PC do B,DC,1
PSL,PSB,1
DEM,DC,1
PRP,CIDADANIA,1
PT,CIDADANIA,1
PODE,PT,1
PMN,PSOL,1
PT,PMB,1
PT,PP,1
PRB,PV,1
PT,PTB,1
PT,REPUBLICANOS,1
PRB,PSC,1
PDT,REDE,1
PTB,NOVO,1
PMB,PSTU,1
PMB,PSDB,1
PODE,PV,1
PRB,DC,1
PRB,CIDADANIA,1
PCB,AVANTE,1
PTB,REDE,1
PCB,CIDADANIA,1
PR,REDE,1
DC,CIDADANIA,1
PT,AVANTE,1
DC,PSC,1
PSTU,PSOL,1
DC,PV,1
PSL,PSOL,1
PSL,PT,1
DEM,AGIR,1
PC do B,PMN,1
DC,REDE,1
PODE,PMB,1
PSOL,CIDADANIA,1
PROS,PV,1
PSOL,PATRIOTA,1
PC do B,PP,1
PSTU,PMB,1
PSOL,PROS,1
PSOL,PRTB,1
PSOL,PSC,1
PC do B,PRTB,1
DC,PSOL,1
PSOL,REPUBLICANOS,1
PSOL,UNIÃO,1
PSOL,UP,1
PSTU,PCO,1
PP,PMB,1
